DOY,HOUR,MIN,year,SEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),R^2 Br,Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
1.0,0.0,29.5,2015.0,29.016666666666666,1.0208332421,-0.037833333333333344,-1.1801666666666668,0.18949999999999997,0.0,621725039.9149998,-23.43855000000001,0.6400000000000003,-0.6499813825166668,4.15591604221257,-0.6534618655884119,0.9355538160053172,-15.244882296537316,76.60010159170449,-91.84498388824186,-15.244882296537316
1.0,1.0,29.5,2015.0,29.0,1.0624998584,-0.016166666666666663,-1.1161666666666668,0.3551666666666666,0.0,621754202.58,-23.4397666666667,0.6400000000000003,-0.27774760291666684,4.156110979812838,-0.27923486991392893,0.7168313760495388,-14.262164492927575,76.60070743145421,-90.86287192438179,-14.262164492927575
1.0,2.0,29.5,2015.0,29.0,1.1041665086333332,-0.07416666666666666,-1.073166666666667,0.4253333333333333,0.0,621783362.615,-23.441216666666676,0.6400000000000003,-1.2744140499333336,4.156305899832891,-1.2812382092895347,1.4424648030321816,-17.467318552276833,76.60131316279619,-94.06863171507302,-17.467318552276833
1.0,3.0,29.5,2015.0,29.0,1.1458331606333334,-0.024166666666666673,-1.0075,0.4166666666666666,0.0,621812519.9933333,-23.442449999999997,0.6400000000000003,-0.4152679462500002,4.156500802094478,-0.41749159928362783,1.2122413682935982,-14.750087533179235,76.60191878519821,-91.35200631837742,-14.750087533179235
1.0,4.0,29.5,2015.0,29.0,1.1874998130499999,-0.027166666666666676,-1.051666666666667,-0.01266666666666666,0.0,621841674.6983334,-23.44366666666664,0.6400000000000003,-0.4669016532,4.156695686486188,-0.4694017913712053,1.0568373984380433,-14.839160532011409,76.6025242983358,-91.4416848303472,-14.839160532011409
1.0,5.0,29.5,2015.0,29.0,1.22916646425,0.10433333333333335,-0.8561666666666664,0.6501666666666669,0.0,621870826.7550002,-23.445016666666664,0.6399500000000005,1.7932525933333332,4.156890553175137,1.8028549997138061,1.8316532553252116,-6.3983104236733315,76.60312970274988,-83.00144012642323,-6.3983104236733315
1.0,6.0,29.5,2015.0,29.0,1.2708331153333332,0.06699999999999998,-1.0195,0.4696666666666666,0.0,621899976.14,-23.44634999999998,0.639,1.1516735744999997,4.157085402005351,1.1578404902307227,1.2212070798198793,-9.530222091414261,76.60373499797765,-86.13395708939191,-9.530222091414261
1.0,7.0,29.5,2015.0,29.0,1.3117281634074074,0.24296296296296294,-1.125740740740741,0.09814814814814816,0.0,621928583.1296294,-23.447537037037048,0.6389999999999998,4.176780141592593,4.157276625198063,4.199145724936915,4.199145724936915,-1.2273218020485739,76.60432897785346,-77.831650779902,-1.2273218020485739
1.0,8.0,29.5,2015.0,29.0,1.3571335918636362,0.385909090909091,-1.0504545454545453,-0.3331818181818182,0.0,621960342.1772727,-23.448818181818186,0.6389999999999998,6.634799571590909,4.157488918297281,6.670327216565971,6.670327216565971,6.7908532936263555,76.60498834365785,-69.81413505003148,6.7908532936263555
1.0,9.0,29.5,2015.0,29.0,1.3872296774074073,0.3392592592592592,-1.0351851851851854,-0.3259259259259259,0.0,621981391.4259259,-23.45003703703704,0.6389999999999998,5.833165268666666,4.157629621831058,5.864400368153981,5.864400368153981,4.783306142828021,76.6054253258484,-71.82211918302039,4.783306142828021
1.0,10.0,29.5,2015.0,29.0,1.4434024942857142,0.29857142857142854,-0.6685714285714287,-0.9414285714285714,0.0,622020674.957143,-23.451999999999998,0.6390000000000001,5.134230072428572,4.1578922122803705,5.161722553878072,5.161722553878072,10.450254297063081,76.60624077388327,-66.15598647682019,10.450254297063081
1.0,11.0,29.5,,,,,,,,,,,,,,,,,,
1.0,12.0,29.5,2015.0,29.0,1.52604136,0.35,0.38,-1.12,0.0,622078458.2,-23.454,0.639,6.019713905,4.158278463903747,6.051947924177996,6.051947924177996,123.96073692614556,76.60744006003725,47.35329686610831,123.96073692614556
1.0,13.0,29.5,,,,,,,,,,,,,,,,,,
1.0,14.0,29.5,2015.0,29.0,1.6133497543448274,0.3872413793103448,-1.0910344827586205,-0.27931034482758627,0.0,622139495.0586207,-23.456999999999997,0.6380344827586208,6.661539806517242,4.158686464295596,6.697210638626633,6.697210638626633,6.1604056313412405,76.6087066450126,-70.44830101367138,6.1604056313412405
1.0,15.0,29.5,2015.0,29.0,1.6459302033600003,0.3421999999999999,-1.1048,-0.24979999999999994,0.0,622162268.822,-23.45788,0.6380000000000008,5.887138086059999,4.158838695334227,5.91866219610219,5.91866219610219,3.8152873137126893,76.60917916485928,-72.79389185114658,3.8152873137126893
1.0,16.0,29.5,2015.0,29.0,1.6874996318166664,0.2696666666666667,-1.0818333333333334,-0.2655,0.0,622191323.6616666,-23.45928333333332,0.6380000000000003,4.639739466833333,4.15903291217692,4.664584078232882,4.664584078232882,0.5944359298978504,76.60978196251897,-76.01534603262108,0.5944359298978504
1.0,17.0,29.5,2015.0,29.0,1.7291662842500002,0.25583333333333325,-1.0505000000000002,-0.17916666666666667,0.0,622220443.7866668,-23.460516666666674,0.6380000000000003,4.402124810083332,4.159227565418899,4.4256970560969835,4.4256970560969835,0.2757462021979066,76.61038606079386,-76.33463985859598,0.2757462021979066
1.0,18.0,29.5,2015.0,29.0,1.7699455912407407,0.30870370370370376,-1.0164814814814818,0.060555555555555564,0.0,622248941.175926,-23.461722222222217,0.6380000000000007,5.312377232148149,4.159418055988813,5.340823645719961,5.340823645719961,3.5088047189762315,76.61097718846331,-73.10217246948707,3.5088047189762315
1.0,19.0,29.5,2015.0,29.0,1.8051855198709674,0.34258064516129033,-0.9732258064516132,0.2983870967741936,0.0,622273565.516129,-23.463032258064523,0.6380000000000003,5.895814143225806,4.15958265719338,5.927384711364614,5.927384711364614,6.003171920737872,76.61148793589588,-70.60831601515801,6.003171920737872
1.0,20.0,29.5,,,,,,,,,,,,,,,,,,
1.0,21.0,29.5,2015.0,29.0,1.897556375509091,0.3427272727272727,-0.8661818181818182,-0.17345454545454547,0.0,622338101.7072729,-23.46570909090907,0.6380000000000006,5.899537642072725,4.160014048845408,5.931128148651808,5.931128148651808,8.234049105499603,76.61282633508208,-68.37877722958248,8.234049105499603
1.0,22.0,29.5,2015.0,29.0,1.9376819808474572,0.2205084745762712,-0.7481355932203391,0.31983050847457634,0.0,622366131.9389831,-23.46698305084747,0.6379152542372888,3.796052658983049,4.160201416704436,3.816379544521889,3.816379544521889,4.887879696560569,76.61340756453305,-71.72552786797249,4.887879696560569
1.0,23.0,29.5,2015.0,29.0,1.9791661935666665,0.2271666666666667,-0.7963333333333336,0.3915,0.0,622395108.6600001,-23.468333333333344,0.6370000000000003,3.911068221233334,4.1603951113636395,3.9320109855715057,3.9320109855715057,3.5358007708239017,76.61400836849265,-73.07820759766877,3.5358007708239017
2.0,0.0,29.5,2015.0,29.016666666666666,2.0208328822,0.22000000000000008,-0.5721666666666666,0.3316666666666666,0.0,622424210.1983333,-23.469566666666687,0.6370000000000003,3.7880112931500003,4.160589640363194,3.8082951192721866,3.8486881572199816,7.878789529937304,76.61461170712536,-68.73582217718806,7.878789529937304
2.0,1.0,29.5,2015.0,29.0,2.062499497766667,0.18166666666666667,-0.5374999999999999,0.372,0.0,622453309.0133332,-23.4708,0.6370000000000003,3.1283250540833336,4.160784151158648,3.1450764300376526,3.393207249876785,6.173216364442149,76.6152149359124,-70.44199857147024,6.173216364442149
2.0,2.0,29.5,2015.0,29.0,2.1041661482666667,0.26266666666666655,-0.47133333333333327,0.45666666666666667,0.0,622482405.2099999,-23.472249999999978,0.6370000000000003,4.523525000533334,4.160978644451875,4.5477473133143205,4.5477473133143205,16.53093347067361,76.6158180570522,-60.08488458637858,16.53093347067361
2.0,3.0,29.5,2015.0,29.0,2.1458328006666667,0.2729999999999999,-0.645,0.1628333333333333,0.0,622511498.7366668,-23.47348333333332,0.6370000000000003,4.701910152183332,4.161173119897509,4.7270876715968075,4.7270876715968075,9.608080916342008,76.61642106949525,-67.00834015315326,9.608080916342008
2.0,4.0,29.5,2015.0,29.0,2.1874994531333334,0.14533333333333337,-0.6963333333333332,-0.05283333333333331,0.0,622540589.6100001,-23.47469999999998,0.6370000000000003,2.503315993883333,4.161367577606955,2.516720607089128,2.516720607089128,-1.652846411904876,76.61702397360858,-78.26987038551349,-1.652846411904876
2.0,5.0,29.5,2015.0,29.0,2.229166103216666,0.1749999999999999,-0.6148333333333335,0.125,0.0,622569677.8299999,-23.476100000000027,0.6370000000000003,3.0146247848333343,4.161562017580217,3.0307673250925093,3.0307673250925093,3.640309196968811,76.61762676941375,-72.97731757244493,3.640309196968811
2.0,6.0,29.5,2015.0,29.0,2.270832755433333,0.17533333333333329,-0.35233333333333344,-0.5205,0.0,622598763.385,-23.47738333333334,0.6370000000000003,3.0206160502000006,4.161756439739308,3.036790672158209,3.036790672158209,14.934032883751076,76.61822945669049,-61.684196572939435,14.934032883751076
2.0,7.0,29.5,2015.0,29.0,2.312499407766666,0.10766666666666667,-0.22200000000000003,-0.6531666666666666,0.0,622627846.285,-23.478616666666692,0.6363833333333335,1.8550859839500005,4.161950844151073,1.8650194921512788,1.9516252727128962,17.38071740747058,76.61883203566768,-59.23811462819709,11.380717407470582
2.0,8.0,29.5,2015.0,29.0,2.354166058816666,0.07099999999999998,-0.6623333333333333,-0.0746666666666666,0.0,622656926.5266666,-23.479933333333346,0.6359999999999999,1.2234143983833328,4.16214523079323,1.2299654677941305,1.2761605691905673,-7.029970339716105,76.61943450629767,-83.6494048460138,-7.029970339716105
2.0,9.0,29.5,2015.0,29.0,2.39583271005,0.04449999999999998,-0.5215,0.49933333333333335,0.0,622686004.1066666,-23.48129999999999,0.6359999999999999,0.7668584888166665,4.162339599643497,0.7709648188017002,1.1636631550337408,-9.464215689456157,76.62003686853299,-86.08425255798917,-9.464215689456157
