Year,Month,Day,DecimalDay,Dailysunspotno,error,observations,definitve indicator
2015,1,1,2015.001,104,6.9,13,1
2015,1,2,2015.004,122,8,31,1
2015,1,3,2015.007,102,7.3,17,1
2015,1,4,2015.01,105,9.1,27,1
2015,1,5,2015.012,88,8.2,29,1
2015,1,6,2015.015,89,6.9,21,1
2015,1,7,2015.018,103,9.7,28,1
2015,1,8,2015.021,99,5.7,17,1
2015,1,9,2015.023,111,8.8,20,1
2015,1,10,2015.026,106,5.4,15,1
2015,1,11,2015.029,122,8,27,1
2015,1,12,2015.032,124,12,25,1
2015,1,13,2015.034,101,7.3,16,1
2015,1,14,2015.037,80,6.1,17,1
2015,1,15,2015.04,59,4.9,11,1
2015,1,16,2015.042,52,4.6,21,1
2015,1,17,2015.045,40,3,14,1
2015,1,18,2015.048,68,4.4,4,1
2015,1,19,2015.051,66,3.6,19,1
2015,1,20,2015.053,56,5.2,10,1
2015,1,21,2015.056,43,3.9,10,1
2015,1,22,2015.059,50,2.2,8,1
2015,1,23,2015.062,60,4.5,21,1
2015,1,24,2015.064,59,4.4,24,1
2015,1,25,2015.067,62,5.6,22,1
2015,1,26,2015.07,109,7,16,1
2015,1,27,2015.073,126,8.4,12,1
2015,1,28,2015.075,141,6.3,9,1
2015,1,29,2015.078,146,12.2,20,1
2015,1,30,2015.081,153,6.9,8,1
2015,1,31,2015.084,138,10.6,14,1
2015,2,1,2015.086,113,7.3,19,1
2015,2,2,2015.089,93,6.5,24,1
2015,2,3,2015.092,89,4.9,17,1
2015,2,4,2015.095,96,6.3,17,1
2015,2,5,2015.097,93,7.9,19,1
2015,2,6,2015.1,89,4.4,11,1
2015,2,7,2015.103,76,4.9,7,1
2015,2,8,2015.105,84,5.8,11,1
2015,2,9,2015.108,88,4.8,11,1
2015,2,10,2015.111,84,6,21,1
2015,2,11,2015.114,60,5.3,24,1
2015,2,12,2015.116,51,3.1,24,1
2015,2,13,2015.119,62,3.6,9,1
2015,2,14,2015.122,53,3.7,14,1
2015,2,15,2015.125,65,5.9,25,1
2015,2,16,2015.127,41,2.3,9,1
2015,2,17,2015.13,39,3.3,16,1
2015,2,18,2015.133,87,4.1,15,1
2015,2,19,2015.136,89,8.1,30,1
2015,2,20,2015.138,64,4.7,23,1
2015,2,21,2015.141,58,4.8,15,1
2015,2,22,2015.144,43,3.2,16,1
2015,2,23,2015.147,46,3.4,14,1
2015,2,24,2015.149,44,3.4,12,1
2015,2,25,2015.152,21,1.7,7,1
2015,2,26,2015.155,22,1.4,6,1
2015,2,27,2015.158,58,4.8,11,1
2015,2,28,2015.16,60,4.3,15,1
2015,3,1,2015.163,65,5.4,26,1
2015,3,2,2015.166,52,3.9,19,1
2015,3,3,2015.168,42,1.9,22,1
2015,3,4,2015.171,37,3.2,26,1
2015,3,5,2015.174,26,2.5,27,1
2015,3,6,2015.177,35,1.9,10,1
2015,3,7,2015.179,17,1.3,19,1
2015,3,8,2015.182,28,1.9,22,1
2015,3,9,2015.185,23,2.1,26,1
2015,3,10,2015.188,27,1.6,24,1
2015,3,11,2015.19,44,3.5,21,1
2015,3,12,2015.193,56,4,21,1
2015,3,13,2015.196,76,5.8,35,1
2015,3,14,2015.199,55,4.7,14,1
2015,3,15,2015.201,53,4.5,11,1
2015,3,16,2015.204,46,4.4,15,1
2015,3,17,2015.207,38,3.3,22,1
2015,3,18,2015.21,41,2.3,20,1
2015,3,19,2015.212,49,3.3,19,1
2015,3,20,2015.215,20,1.5,6,1
2015,3,21,2015.218,26,2,9,1
2015,3,22,2015.221,81,6.7,27,1
2015,3,23,2015.223,99,8.2,30,1
2015,3,24,2015.226,108,5.9,26,1
2015,3,25,2015.229,99,6.7,19,1
2015,3,26,2015.232,105,8.9,21,1
2015,3,27,2015.234,101,7.7,26,1
2015,3,28,2015.237,81,3.9,17,1
2015,3,29,2015.24,72,6.8,11,1
2015,3,30,2015.242,51,2.7,19,1
2015,3,31,2015.245,38,2,18,1
2015,4,1,2015.248,43,3.2,13,1
2015,4,2,2015.251,35,3,24,1
2015,4,3,2015.253,35,2,4,1
2015,4,4,2015.256,54,3.9,18,1
2015,4,5,2015.259,55,4.3,22,1
2015,4,6,2015.262,53,3.5,22,1
2015,4,7,2015.264,51,4.8,40,1
2015,4,8,2015.267,43,3,22,1
2015,4,9,2015.27,47,4.1,41,1
2015,4,10,2015.273,41,3.4,22,1
2015,4,11,2015.275,59,1.2,11,1
2015,4,12,2015.278,86,7.7,44,1
2015,4,13,2015.281,103,10.2,40,1
2015,4,14,2015.284,105,8.1,29,1
2015,4,15,2015.286,96,8.3,44,1
2015,4,16,2015.289,100,9.8,29,1
2015,4,17,2015.292,117,8.5,20,1
2015,4,18,2015.295,140,13.2,39,1
2015,4,19,2015.297,137,13.3,27,1
2015,4,20,2015.3,128,11.9,46,1
2015,4,21,2015.303,127,10.2,49,1
2015,4,22,2015.305,138,12,44,1
2015,4,23,2015.308,117,10.1,41,1
2015,4,24,2015.311,83,6.2,43,1
2015,4,25,2015.314,69,6.2,23,1
2015,4,26,2015.316,65,5.3,17,1
2015,4,27,2015.319,47,4.5,25,1
2015,4,28,2015.322,41,4,22,1
2015,4,29,2015.325,30,2.1,7,1
2015,4,30,2015.327,15,0.9,19,1
2015,5,1,2015.33,19,0.9,7,1
2015,5,2,2015.333,34,2.2,15,1
2015,5,3,2015.336,44,3.8,9,1
2015,5,4,2015.338,103,6.3,15,1
2015,5,5,2015.341,104,5.5,32,1
2015,5,6,2015.344,124,10.7,35,1
2015,5,7,2015.347,145,12.9,43,1
2015,5,8,2015.349,150,10.1,33,1
2015,5,9,2015.352,139,10.6,33,1
2015,5,10,2015.355,163,11.4,39,1
2015,5,11,2015.358,163,10.8,44,1
2015,5,12,2015.36,165,14.6,38,1
2015,5,13,2015.363,172,13.6,48,1
2015,5,14,2015.366,164,12.4,36,1
2015,5,15,2015.368,124,9.8,30,1
2015,5,16,2015.371,103,7.4,32,1
2015,5,17,2015.374,89,5.2,29,1
2015,5,18,2015.377,101,6.7,39,1
2015,5,19,2015.379,77,7.2,36,1
2015,5,20,2015.382,59,3.7,22,1
2015,5,21,2015.385,50,3.9,25,1
2015,5,22,2015.388,73,3.8,23,1
2015,5,23,2015.39,72,5.9,33,1
2015,5,24,2015.393,78,4.7,44,1
2015,5,25,2015.396,67,3.1,25,1
2015,5,26,2015.399,53,5,47,1
2015,5,27,2015.401,14,1.2,11,1
2015,5,28,2015.404,12,0.9,23,1
2015,5,29,2015.407,33,2.6,21,1
2015,5,30,2015.41,31,3,22,1
2015,5,31,2015.412,29,1.4,6,1
2015,6,1,2015.415,27,1.8,17,1
2015,6,2,2015.418,44,3.7,30,1
2015,6,3,2015.421,49,4,25,1
2015,6,4,2015.423,80,6.8,19,1
2015,6,5,2015.426,90,5.7,20,1
2015,6,6,2015.429,109,10,33,1
2015,6,7,2015.432,124,9.6,35,1
2015,6,8,2015.434,112,10.6,36,1
2015,6,9,2015.437,92,5.5,24,1
2015,6,10,2015.44,93,8.1,46,1
2015,6,11,2015.442,95,5.8,27,1
2015,6,12,2015.445,98,8.4,38,1
2015,6,13,2015.448,97,8.7,36,1
2015,6,14,2015.451,90,6.9,20,1
2015,6,15,2015.453,54,4.3,24,1
2015,6,16,2015.456,70,4.3,23,1
2015,6,17,2015.459,80,7.9,35,1
2015,6,18,2015.462,77,5.2,27,1
2015,6,19,2015.464,68,5,21,1
2015,6,20,2015.467,64,6.1,42,1
2015,6,21,2015.47,61,5.8,36,1
2015,6,22,2015.473,56,4.3,37,1
2015,6,23,2015.475,45,1.9,20,1
2015,6,24,2015.478,36,2.2,24,1
2015,6,25,2015.481,27,1.9,24,1
2015,6,26,2015.484,23,1.6,24,1
2015,6,27,2015.486,21,1.1,18,1
2015,6,28,2015.489,32,2.6,8,1
2015,6,29,2015.492,39,2.9,26,1
2015,6,30,2015.495,41,2.8,31,1
2015,7,1,2015.497,54,4,25,1
2015,7,2,2015.5,75,6.7,33,1
2015,7,3,2015.503,88,6.2,33,1
2015,7,4,2015.505,99,6.6,33,1
2015,7,5,2015.508,109,5.2,27,1
2015,7,6,2015.511,97,8.1,48,1
2015,7,7,2015.514,112,11,41,1
2015,7,8,2015.516,123,8.9,33,1
2015,7,9,2015.519,110,8.3,36,1
2015,7,10,2015.522,103,7.5,45,1
2015,7,11,2015.525,92,5.5,32,1
2015,7,12,2015.527,71,6.1,28,1
2015,7,13,2015.53,53,5.1,22,1
2015,7,14,2015.533,43,2.8,18,1
2015,7,15,2015.536,43,2.7,17,1
2015,7,16,2015.538,50,4,42,1
2015,7,17,2015.541,50,3.4,37,1
2015,7,18,2015.544,58,5.2,33,1
2015,7,19,2015.547,44,3.4,34,1
2015,7,20,2015.549,36,2.1,20,1
2015,7,21,2015.552,36,2.7,44,1
2015,7,22,2015.555,36,3.4,45,1
2015,7,23,2015.558,29,1.8,25,1
2015,7,24,2015.56,31,1.8,15,1
2015,7,25,2015.563,34,2.5,23,1
2015,7,26,2015.566,40,3.2,36,1
2015,7,27,2015.568,51,3.9,33,1
2015,7,28,2015.571,62,3.9,35,1
2015,7,29,2015.574,67,6.5,38,1
2015,7,30,2015.577,76,5,25,1
2015,7,31,2015.579,69,2.7,21,1
2015,8,1,2015.582,64,6.2,41,1
2015,8,2,2015.585,53,4,29,1
2015,8,3,2015.588,61,3.8,19,1
2015,8,4,2015.59,90,6.2,35,1
2015,8,5,2015.593,94,6.3,47,1
2015,8,6,2015.596,108,7,47,1
2015,8,7,2015.599,112,6.5,46,1
2015,8,8,2015.601,93,4.8,37,1
2015,8,9,2015.604,76,5.5,35,1
2015,8,10,2015.607,69,4.6,36,1
2015,8,11,2015.61,78,7.6,39,1
2015,8,12,2015.612,66,4.7,27,1
2015,8,13,2015.615,55,5.1,27,1
2015,8,14,2015.618,46,3,25,1
2015,8,15,2015.621,39,3.9,32,1
2015,8,16,2015.623,38,2.2,21,1
2015,8,17,2015.626,33,1.4,7,1
2015,8,18,2015.629,39,2.6,15,1
2015,8,19,2015.632,50,4.8,28,1
2015,8,20,2015.634,65,5.6,33,1
2015,8,21,2015.637,73,6.2,36,1
2015,8,22,2015.64,71,5.6,41,1
2015,8,23,2015.642,81,6.1,22,1
2015,8,24,2015.645,81,4.8,20,1
2015,8,25,2015.648,69,4.3,26,1
2015,8,26,2015.651,47,4.2,35,1
2015,8,27,2015.653,55,3.1,14,1
2015,8,28,2015.656,44,2.2,21,1
2015,8,29,2015.659,56,3.1,20,1
2015,8,30,2015.662,56,3.7,17,1
2015,8,31,2015.664,35,2.7,14,1
2015,9,1,2015.667,43,3.4,21,1
2015,9,2,2015.67,36,3.5,25,1
2015,9,3,2015.673,29,2.2,28,1
2015,9,4,2015.675,37,2.4,23,1
2015,9,5,2015.678,27,1.9,21,1
2015,9,6,2015.681,43,3.3,24,1
2015,9,7,2015.684,44,3.2,24,1
2015,9,8,2015.686,42,2.7,26,1
2015,9,9,2015.689,57,5.4,15,1
2015,9,10,2015.692,46,3.5,30,1
2015,9,11,2015.695,81,6.1,39,1
2015,9,12,2015.697,89,7.8,28,1
2015,9,13,2015.7,83,7.8,32,1
2015,9,14,2015.703,56,4.2,28,1
2015,9,15,2015.705,68,4.4,32,1
2015,9,16,2015.708,86,5.3,15,1
2015,9,17,2015.711,75,4.7,23,1
2015,9,18,2015.714,71,6.2,40,1
2015,9,19,2015.716,64,5,35,1
2015,9,20,2015.719,65,3.6,23,1
2015,9,21,2015.722,78,7,29,1
2015,9,22,2015.725,86,5.3,21,1
2015,9,23,2015.727,96,8.1,29,1
2015,9,24,2015.73,101,8.7,37,1
2015,9,25,2015.733,152,10.1,37,1
2015,9,26,2015.736,162,8.7,38,1
2015,9,27,2015.738,169,8.9,30,1
2015,9,28,2015.741,156,8.6,36,1
2015,9,29,2015.744,120,9.7,33,1
2015,9,30,2015.747,95,6.8,40,1
2015,10,1,2015.749,93,6.2,26,1
2015,10,2,2015.752,62,4.2,26,1
2015,10,3,2015.755,51,3,15,1
2015,10,4,2015.758,22,1.5,28,1
2015,10,5,2015.76,20,1.7,13,1
2015,10,6,2015.763,26,1.5,13,1
2015,10,7,2015.766,33,1.9,18,1
2015,10,8,2015.768,37,3.2,26,1
2015,10,9,2015.771,26,1.9,18,1
2015,10,10,2015.774,13,1.1,14,1
2015,10,11,2015.777,30,2.8,10,1
2015,10,12,2015.779,53,4.9,40,1
2015,10,13,2015.782,65,4.2,10,1
2015,10,14,2015.785,57,3.1,25,1
2015,10,15,2015.788,55,3.7,18,1
2015,10,16,2015.79,59,2.9,13,1
2015,10,17,2015.793,79,6.5,13,1
2015,10,18,2015.796,75,7.5,22,1
2015,10,19,2015.799,94,6.1,23,1
2015,10,20,2015.801,95,5.9,22,1
2015,10,21,2015.804,89,6.1,17,1
2015,10,22,2015.807,107,7.2,20,1
2015,10,23,2015.81,94,9.1,28,1
2015,10,24,2015.812,78,6.2,28,1
2015,10,25,2015.815,67,4.9,22,1
2015,10,26,2015.818,78,5.8,20,1
2015,10,27,2015.821,67,5.7,24,1
2015,10,28,2015.823,81,6.2,17,1
2015,10,29,2015.826,93,6.9,31,1
2015,10,30,2015.829,88,6.7,32,1
2015,10,31,2015.832,86,6.2,30,1
2015,11,1,2015.834,85,4.8,33,1
2015,11,2,2015.837,101,7,33,1
2015,11,3,2015.84,82,6.3,34,1
2015,11,4,2015.842,100,4.9,18,1
